Fecha	Territorio	Confirmados PDIA	Confirmados PDIA 14 días	Confirmados PDIA 7 días	Total confirmados	Hospitalizados	Total UCI	Fallecidos	Curados
05/07/2020	Andalucía	13248	325	141	18106	6341	784	1442	15533
	Almería	558	25	20	829	249	42	53	750
	Cádiz	1324	18	9	1642	594	85	171	1410
	Córdoba	1353	1	1	1756	563	76	117	1631
	Granada	2608	119	72	3410	1215	138	287	2959
	Huelva	418	10	0	544	223	31	49	480
	Jaén	1496	16	9	1990	781	91	189	1747
	Málaga	2985	129	27	4756	1504	168	287	3675
	Sevilla	2506	7	3	3179	1212	153	289	2881
04/07/2020	Andalucía	13231	317	139	18089	6340	784	1442	15533
	Almería	552	19	14	823	249	42	53	749
	Cádiz	1322	16	8	1640	594	85	171	1410
	Córdoba	1353	1	1	1756	563	76	117	1631
	Granada	2603	124	75	3405	1215	138	287	2960
	Huelva	418	10	0	544	223	31	49	480
	Jaén	1496	16	10	1990	781	91	189	1747
	Málaga	2981	124	28	4752	1503	168	287	3675
	Sevilla	2506	7	3	3179	1212	153	289	2881
03/07/2020	Andalucía	13208	308	142	18065	6337	784	1441	15499
	Almería	549	18	11	820	247	42	53	748
	Cádiz	1320	16	9	1638	594	85	171	1410
	Córdoba	1353	2	1	1756	563	76	116	1632
	Granada	2590	117	73	3392	1215	138	287	2960
	Huelva	418	10	0	544	223	31	49	480
	Jaén	1494	14	13	1988	781	91	189	1740
	Málaga	2980	125	31	4750	1501	168	287	3649
	Sevilla	2504	6	4	3177	1213	153	289	2880
02/07/2020	Andalucía	13194	315	146	18047	6334	781	1440	15467
	Almería	548	17	13	819	247	41	53	747
	Cádiz	1320	29	9	1638	594	85	171	1403
	Córdoba	1353	2	1	1755	562	76	116	1632
	Granada	2584	115	73	3386	1215	137	287	2959
	Huelva	418	10	1	544	223	31	48	480
	Jaén	1494	16	13	1986	779	91	189	1734
	Málaga	2975	120	34	4744	1501	168	287	3632
	Sevilla	2502	6	2	3175	1213	152	289	2880
01/07/2020	Andalucía	13174	301	211	18029	6333	780	1440	15441
	Almería	546	16	11	817	247	41	53	747
	Cádiz	1318	30	10	1636	593	84	171	1400
	Córdoba	1354	3	2	1756	562	76	116	1632
	Granada	2570	103	70	3374	1214	136	287	2958
	Huelva	418	10	9	544	223	31	48	480
	Jaén	1490	12	10	1983	779	91	189	1731
	Málaga	2975	119	95	4743	1501	168	287	3614
	Sevilla	2503	8	4	3176	1214	153	289	2879
30/06/2020	Andalucía	13137	267	203	17989	6331	780	1439	15398
	Almería	543	13	9	814	246	41	53	744
	Cádiz	1316	30	9	1634	593	84	171	1385
	Córdoba	1353	2	1	1756	562	76	116	1629
	Granada	2557	90	65	3359	1214	136	287	2957
	Huelva	418	10	9	544	223	31	48	480
	Jaén	1488	10	8	1980	778	91	188	1730
	Málaga	2959	104	98	4726	1501	168	287	3597
	Sevilla	2503	8	4	3176	1214	153	289	2876
29/06/2020	Andalucía	13115	250	184	17965	6328	780	1438	15387
	Almería	542	12	8	813	246	41	53	744
	Cádiz	1314	28	7	1632	593	84	171	1386
	Córdoba	1353	3	1	1755	562	76	116	1627
	Granada	2550	84	58	3352	1214	136	286	2952
	Huelva	418	10	10	544	223	31	48	480
	Jaén	1486	8	6	1978	777	91	188	1729
	Málaga	2949	94	89	4715	1499	168	287	3597
	Sevilla	2503	11	5	3176	1214	153	289	2872
28/06/2020	Andalucía	13083	221	155	17933	6327	780	1438	15386
	Almería	538	8	4	809	246	41	53	744
	Cádiz	1314	28	8	1632	593	84	171	1385
	Córdoba	1353	3	1	1755	562	76	116	1627
	Granada	2533	67	42	3335	1213	136	286	2952
	Huelva	418	10	10	544	223	31	48	480
	Jaén	1485	9	5	1977	777	91	188	1729
	Málaga	2939	85	80	4705	1499	168	287	3597
	Sevilla	2503	11	5	3176	1214	153	289	2872
27/06/2020	Andalucía	13064	207	148	17914	6324	780	1438	15383
	Almería	538	9	4	809	246	41	53	744
	Cádiz	1313	28	7	1631	593	84	171	1384
	Córdoba	1353	4	1	1755	562	76	116	1627
	Granada	2525	59	44	3327	1211	136	286	2952
	Huelva	418	10	10	544	223	31	48	480
	Jaén	1483	8	3	1975	777	91	188	1729
	Málaga	2931	78	74	4697	1498	168	287	3595
	Sevilla	2503	11	5	3176	1214	153	289	2872
26/06/2020	Andalucía	13019	170	114	17870	6322	779	1436	15359
	Almería	538	9	5	809	246	41	53	743
	Cádiz	1311	26	7	1630	593	84	169	1377
	Córdoba	1353	4	2	1755	562	76	116	1627
	Granada	2516	50	39	3318	1211	136	286	2949
	Huelva	418	10	10	544	223	31	48	480
	Jaén	1478	5	0	1971	776	91	188	1725
	Málaga	2905	56	49	4670	1498	168	287	3587
	Sevilla	2500	10	2	3173	1213	152	289	2871
25/06/2020	Andalucía	12992	153	109	17844	6320	778	1434	15297
	Almería	535	6	3	806	246	41	53	740
	Cádiz	1311	28	20	1630	593	84	168	1364
	Córdoba	1352	3	1	1754	562	76	115	1628
	Granada	2508	43	37	3311	1209	136	286	2949
	Huelva	417	9	9	543	223	30	48	479
	Jaén	1478	6	2	1971	776	91	188	1725
	Málaga	2891	48	35	4656	1498	168	287	3543
	Sevilla	2500	10	2	3173	1213	152	289	2869
24/06/2020	Andalucía	12950	114	77	17802	6317	778	1434	15248
	Almería	534	5	3	805	246	41	53	740
	Cádiz	1308	25	20	1627	593	84	168	1361
	Córdoba	1352	3	1	1754	562	76	115	1625
	Granada	2498	33	30	3301	1209	136	286	2948
	Huelva	409	2	1	535	223	30	48	479
	Jaén	1478	7	2	1971	774	91	188	1720
	Málaga	2872	30	16	4637	1497	168	287	3506
	Sevilla	2499	9	4	3172	1213	152	289	2869
23/06/2020	Andalucía	12929	104	60	17778	6313	777	1432	15154
	Almería	533	5	3	805	246	41	53	740
	Cádiz	1307	26	21	1624	593	84	168	1358
	Córdoba	1352	4	1	1753	562	76	115	1618
	Granada	2491	27	24	3294	1209	135	284	2934
	Huelva	409	2	0	535	223	30	48	479
	Jaén	1478	7	2	1971	771	91	188	1712
	Málaga	2861	23	6	4625	1497	168	287	3446
	Sevilla	2498	10	3	3171	1212	152	289	2867
22/06/2020	Andalucía	12925	105	59	17771	6313	777	1429	15113
	Almería	533	6	3	804	246	41	53	740
	Cádiz	1305	26	21	1621	592	84	165	1352
	Córdoba	1352	5	1	1753	562	76	115	1611
	Granada	2490	26	24	3292	1209	135	284	2933
	Huelva	407	0	0	533	222	30	48	479
	Jaén	1478	7	2	1971	771	91	187	1704
	Málaga	2861	24	5	4625	1498	168	288	3426
	Sevilla	2499	11	3	3172	1213	152	289	2868
21/06/2020	Andalucía	12916	98	52	17762	6311	777	1429	15106
	Almería	533	6	3	804	246	41	53	740
	Cádiz	1304	25	20	1620	592	84	165	1352
	Córdoba	1351	4	0	1752	561	76	115	1611
	Granada	2487	24	21	3289	1208	135	284	2933
	Huelva	407	0	0	533	222	30	48	479
	Jaén	1477	6	2	1970	771	91	187	1704
	Málaga	2858	22	3	4622	1498	168	288	3426
	Sevilla	2499	11	3	3172	1213	152	289	2861
20/06/2020	Andalucía	12907	96	48	17759	6309	777	1429	15103
	Almería	533	6	4	805	246	41	53	738
	Cádiz	1303	25	20	1619	592	84	165	1351
	Córdoba	1351	4	1	1754	561	76	115	1611
	Granada	2479	17	13	3283	1207	135	284	2933
	Huelva	407	0	0	533	222	30	48	479
	Jaén	1477	7	4	1970	770	91	187	1704
	Málaga	2858	25	3	4624	1498	168	288	3427
	Sevilla	2499	12	3	3171	1213	152	289	2860
19/06/2020	Andalucía	12892	101	41	17739	6305	777	1426	15051
	Almería	531	9	2	803	245	41	53	734
	Cádiz	1302	25	19	1616	592	84	164	1347
	Córdoba	1351	5	1	1754	561	76	115	1608
	Granada	2471	12	7	3274	1206	135	283	2931
	Huelva	407	0	0	533	222	30	48	478
	Jaén	1477	9	4	1970	770	91	187	1702
	Málaga	2855	28	5	4620	1496	168	287	3393
	Sevilla	2498	13	3	3169	1213	152	289	2858
18/06/2020	Andalucía	12871	94	28	17713	6309	778	1433	14978
	Almería	532	10	2	804	246	41	54	726
	Cádiz	1288	13	8	1602	592	84	164	1342
	Córdoba	1351	6	1	1752	562	77	117	1607
	Granada	2467	10	4	3271	1209	135	287	2930
	Huelva	407	0	0	533	222	30	48	478
	Jaén	1474	8	2	1966	769	91	186	1701
	Málaga	2854	30	7	4616	1496	168	288	3339
	Sevilla	2498	17	4	3169	1213	152	289	2855
17/06/2020	Andalucía	12856	104	26	17678	6308	778	1432	14850
	Almería	531	13	1	803	246	41	54	724
	Cádiz	1285	11	5	1592	592	84	163	1328
	Córdoba	1351	7	1	1752	562	77	117	1606
	Granada	2465	10	2	3269	1209	135	287	2927
	Huelva	407	1	0	533	222	30	48	478
	Jaén	1474	8	4	1965	769	91	186	1685
	Málaga	2846	35	9	4597	1496	168	288	3256
	Sevilla	2497	19	4	3167	1212	152	289	2846
16/06/2020	Andalucía	12846	112	32	17664	6305	778	1431	14722
	Almería	531	14	2	803	246	41	54	721
	Cádiz	1282	10	5	1589	589	84	163	1324
	Córdoba	1350	7	1	1751	563	77	117	1601
	Granada	2465	10	3	3269	1209	135	286	2914
	Huelva	407	1	0	533	222	30	48	478
	Jaén	1474	8	5	1965	769	91	186	1676
	Málaga	2840	39	10	4587	1496	168	288	3161
	Sevilla	2497	23	6	3167	1211	152	289	2847
15/06/2020	Andalucía	12842	135	33	17660	6303	777	1432	14610
	Almería	531	18	2	804	247	41	54	716
	Cádiz	1282	16	5	1588	589	84	163	1305
	Córdoba	1350	10	1	1751	563	77	117	1592
	Granada	2464	10	2	3268	1206	134	287	2905
	Huelva	407	4	0	533	222	30	48	477
	Jaén	1474	13	5	1965	769	91	186	1668
	Málaga	2840	44	12	4587	1497	168	288	3105
	Sevilla	2494	20	6	3164	1210	152	289	2842
14/06/2020	Andalucía	12840	140	33	17658	6303	777	1432	14611
	Almería	531	20	2	804	247	41	54	716
	Cádiz	1282	18	5	1588	589	84	163	1305
	Córdoba	1350	10	2	1751	563	77	117	1592
	Granada	2465	11	3	3269	1206	134	287	2906
	Huelva	407	4	0	533	222	30	48	477
	Jaén	1472	12	3	1963	769	91	186	1668
	Málaga	2839	45	12	4586	1497	168	288	3105
	Sevilla	2494	20	6	3164	1210	152	289	2842
13/06/2020	Andalucía	12836	143	37	17654	6302	777	1431	14606
	Almería	530	21	1	803	247	41	54	715
	Cádiz	1281	17	4	1587	589	84	163	1305
	Córdoba	1349	9	2	1750	562	77	117	1592
	Granada	2465	12	3	3269	1206	134	287	2906
	Huelva	407	4	0	533	222	30	48	477
	Jaén	1472	13	4	1963	769	91	186	1668
	Málaga	2838	47	16	4585	1497	168	287	3104
	Sevilla	2494	20	7	3164	1210	152	289	2839
12/06/2020	Andalucía	12829	151	45	17636	6300	775	1429	14473
	Almería	530	23	6	802	246	41	54	712
	Cádiz	1281	18	6	1582	588	83	161	1286
	Córdoba	1349	10	4	1750	563	76	117	1586
	Granada	2465	15	4	3269	1206	134	287	2893
	Huelva	407	4	0	532	222	30	48	474
	Jaén	1472	15	4	1963	769	91	186	1645
	Málaga	2834	47	16	4576	1497	168	287	3039
	Sevilla	2491	19	5	3162	1209	152	289	2838
11/06/2020	Andalucía	12820	155	46	17625	6298	775	1429	14405
	Almería	530	26	8	802	245	41	54	702
	Cádiz	1279	22	4	1580	588	83	161	1258
	Córdoba	1349	10	4	1750	563	76	117	1581
	Granada	2466	16	4	3270	1207	134	287	2882
	Huelva	407	4	0	532	222	30	48	474
	Jaén	1471	15	6	1962	769	91	186	1635
	Málaga	2827	43	13	4568	1495	168	287	3037
	Sevilla	2491	19	7	3161	1209	152	289	2836
10/06/2020	Andalucía	12810	167	57	17620	6293	774	1428	14322
	Almería	529	27	12	802	245	41	54	701
	Cádiz	1278	25	6	1586	587	83	161	1213
	Córdoba	1348	11	5	1749	563	76	117	1576
	Granada	2462	16	5	3266	1205	133	287	2881
	Huelva	407	4	0	532	222	30	48	474
	Jaén	1469	14	5	1958	769	91	185	1628
	Málaga	2826	50	14	4566	1494	168	287	3012
	Sevilla	2491	20	10	3161	1208	152	289	2837
09/06/2020	Andalucía	12799	168	62	17609	6291	773	1428	14212
	Almería	528	26	12	801	245	41	54	697
	Cádiz	1277	24	5	1586	587	83	161	1196
	Córdoba	1349	11	5	1750	563	76	117	1546
	Granada	2462	17	6	3266	1204	133	287	2880
	Huelva	407	4	0	532	222	30	48	474
	Jaén	1468	16	5	1956	769	91	185	1593
	Málaga	2822	48	18	4562	1494	168	287	2993
	Sevilla	2486	22	11	3156	1207	151	289	2833
08/06/2020	Andalucía	12795	167	74	17597	6291	773	1425	14031
	Almería	527	27	15	799	244	41	54	693
	Cádiz	1277	24	5	1585	587	83	159	1107
	Córdoba	1349	10	7	1750	563	76	117	1540
	Granada	2463	18	8	3265	1205	133	287	2874
	Huelva	408	4	3	532	222	30	48	471
	Jaén	1467	16	6	1954	769	91	184	1561
	Málaga	2820	48	20	4558	1494	168	287	2964
	Sevilla	2484	20	10	3154	1207	151	289	2821
07/06/2020	Andalucía	12796	168	82	17598	6291	773	1425	14004
	Almería	527	27	17	799	244	41	54	693
	Cádiz	1277	24	9	1585	587	83	159	1107
	Córdoba	1349	10	7	1750	563	76	117	1540
	Granada	2462	17	7	3264	1205	133	287	2873
	Huelva	408	4	4	532	222	30	48	471
	Jaén	1467	17	8	1954	769	91	184	1561
	Málaga	2820	49	20	4558	1494	168	287	2965
	Sevilla	2486	20	10	3156	1207	151	289	2794
06/06/2020	Andalucía	12788	166	88	17592	6289	773	1423	13989
	Almería	527	28	19	799	244	41	54	693
	Cádiz	1276	23	11	1584	587	83	159	1107
	Córdoba	1349	10	7	1750	563	76	117	1540
	Granada	2460	17	6	3264	1204	133	287	2868
	Huelva	408	4	4	532	222	30	48	471
	Jaén	1466	19	10	1953	769	91	184	1561
	Málaga	2816	46	22	4554	1493	168	287	2965
	Sevilla	2486	19	9	3156	1207	151	287	2784
05/06/2020	Andalucía	12765	155	84	17572	6285	770	1423	13866
	Almería	521	23	14	793	244	41	54	690
	Cádiz	1275	22	11	1584	587	82	159	1069
	Córdoba	1347	8	6	1748	561	76	117	1540
	Granada	2459	18	7	3264	1204	133	287	2869
	Huelva	406	4	3	531	221	30	48	470
	Jaén	1464	18	9	1951	769	90	184	1523
	Málaga	2809	42	22	4547	1491	168	287	2951
	Sevilla	2484	20	12	3154	1208	150	287	2754
04/06/2020	Andalucía	12753	163	88	17561	6286	769	1422	13752
	Almería	521	23	17	793	244	41	54	679
	Cádiz	1274	21	12	1585	586	81	159	1045
	Córdoba	1347	8	7	1748	561	76	117	1540
	Granada	2455	24	8	3258	1204	133	286	2851
	Huelva	407	5	4	532	222	30	48	468
	Jaén	1463	20	10	1949	769	90	184	1491
	Málaga	2806	42	21	4545	1491	168	287	2943
	Sevilla	2480	20	9	3151	1209	150	287	2735
03/06/2020	Andalucía	12737	167	85	17529	6276	769	1419	13646
	Almería	517	20	15	788	240	41	54	675
	Cádiz	1274	26	14	1580	583	81	159	1016
	Córdoba	1346	8	7	1747	560	76	117	1540
	Granada	2455	24	9	3258	1204	133	286	2827
	Huelva	405	3	2	530	222	30	48	467
	Jaén	1462	26	10	1945	769	90	182	1478
	Málaga	2801	43	22	4536	1491	168	287	2934
	Sevilla	2477	17	6	3145	1207	150	286	2709
02/06/2020	Andalucía	12721	165	76	17505	6270	770	1419	13526
	Almería	516	19	15	787	240	41	54	655
	Cádiz	1275	30	15	1581	584	81	159	986
	Córdoba	1345	8	7	1746	560	76	117	1519
	Granada	2454	26	8	3256	1204	133	286	2826
	Huelva	404	2	1	529	221	30	48	465
	Jaén	1461	28	10	1936	768	91	182	1474
	Málaga	2795	38	17	4531	1488	168	287	2916
	Sevilla	2471	14	3	3139	1205	150	286	2685
01/06/2020	Andalucía	12693	156	60	17482	6262	770	1418	13369
	Almería	511	14	10	781	240	41	54	652
	Cádiz	1269	26	12	1576	584	81	158	974
	Córdoba	1343	7	5	1744	559	76	117	1505
	Granada	2453	26	6	3257	1203	133	286	2777
	Huelva	404	3	1	529	221	30	48	464
	Jaén	1457	28	7	1931	768	91	182	1453
	Málaga	2788	34	16	4525	1484	168	287	2896
	Sevilla	2468	18	3	3139	1203	150	286	2648
31/05/2020	Andalucía	12688	155	0	17476	6261	770	1419	13323
	Almería	509	12	0	779	240	41	54	652
	Cádiz	1269	26	0	1576	583	81	158	974
	Córdoba	1343	7	0	1744	559	76	117	1505
	Granada	2452	27	0	3256	1203	133	287	2751
	Huelva	404	3	0	529	221	30	48	464
	Jaén	1456	29	0	1930	768	91	182	1453
	Málaga	2787	32	0	4523	1484	168	287	2895
	Sevilla	2468	19	0	3139	1203	150	286	2629
30/05/2020	Andalucía	12672	153	0	17469	6260	770	1417	13257
	Almería	507	10	0	777	239	41	53	652
	Cádiz	1269	26	0	1576	583	81	158	974
	Córdoba	1343	8	0	1744	559	76	117	1505
	Granada	2451	26	0	3255	1203	133	287	2752
	Huelva	404	3	0	529	221	30	48	464
	Jaén	1455	29	0	1929	768	91	182	1453
	Málaga	2784	31	0	4520	1484	168	286	2895
	Sevilla	2459	20	0	3139	1203	150	286	2562
29/05/2020	Andalucía	12647	163	0	17433	6251	768	1414	13058
	Almería	505	11	0	775	239	40	53	649
	Cádiz	1267	25	0	1574	583	81	158	952
	Córdoba	1342	9	0	1743	559	76	117	1506
	Granada	2448	32	0	3249	1202	133	286	2747
	Huelva	403	3	0	527	220	30	48	463
	Jaén	1453	35	0	1925	768	90	182	1360
	Málaga	2771	29	0	4499	1475	168	284	2859
	Sevilla	2458	19	0	3141	1205	150	286	2522
28/05/2020	Andalucía	12636	160	0	17408	6247	769	1414	12857
	Almería	503	10	0	773	237	40	53	627
	Cádiz	1259	19	0	1566	582	81	157	890
	Córdoba	1342	10	0	1742	558	76	117	1505
	Granada	2446	33	0	3241	1200	133	286	2739
	Huelva	403	3	0	528	220	30	48	463
	Jaén	1453	37	0	1913	767	90	182	1349
	Málaga	2771	29	0	4502	1478	170	285	2843
	Sevilla	2459	19	0	3143	1205	149	286	2441
27/05/2020	Andalucía	12627	169	0	17380	6245	767	1411	12690
	Almería	502	12	0	770	235	40	53	621
	Cádiz	1259	19	0	1567	582	81	157	888
	Córdoba	1341	11	0	1741	558	75	116	1505
	Granada	2445	33	0	3239	1201	133	286	2711
	Huelva	403	3	0	528	220	30	48	460
	Jaén	1454	41	0	1914	767	90	181	1311
	Málaga	2767	28	0	4475	1477	169	285	2802
	Sevilla	2456	22	0	3146	1205	149	285	2392
26/05/2020	Andalucía	12617	191	0	17345	6245	766	1406	12494
	Almería	501	15	0	770	235	40	53	605
	Cádiz	1256	21	0	1561	583	81	158	830
	Córdoba	1340	10	0	1740	558	75	116	1454
	Granada	2444	33	0	3228	1201	132	284	2686
	Huelva	403	4	0	527	220	30	48	456
	Jaén	1452	45	0	1911	766	90	180	1308
	Málaga	2769	39	0	4459	1477	169	283	2780
	Sevilla	2452	24	0	3149	1205	149	284	2375
25/05/2020	Andalucía	12599	208	0	17292	6233	766	1392	12230
	Almería	500	15	0	763	235	40	52	595
	Cádiz	1257	22	0	1558	578	81	153	797
	Córdoba	1340	12	0	1740	558	75	115	1443
	Granada	2442	35	0	3217	1199	132	282	2666
	Huelva	403	4	0	527	220	30	48	448
	Jaén	1443	50	0	1908	764	90	179	1291
	Málaga	2767	43	0	4429	1476	169	281	2715
	Sevilla	2447	27	0	3150	1203	149	282	2275
24/05/2020	Andalucía	12600	218	0	17267	6230	766	1391	12181
	Almería	499	16	0	763	234	40	52	596
	Cádiz	1257	22	0	1558	578	81	153	797
	Córdoba	1341	13	0	1741	558	75	114	1443
	Granada	2442	35	0	3221	1196	132	282	2669
	Huelva	403	4	0	526	220	30	48	447
	Jaén	1443	52	0	1908	765	90	179	1291
	Málaga	2767	44	0	4418	1476	169	281	2703
	Sevilla	2448	32	0	3132	1203	149	282	2235
23/05/2020	Andalucía	12597	229	0	17215	6229	766	1389	12081
	Almería	499	20	0	763	234	40	52	595
	Cádiz	1257	22	0	1558	578	81	153	797
	Córdoba	1341	15	0	1741	558	75	114	1443
	Granada	2439	34	0	3217	1195	132	280	2669
	Huelva	403	4	0	526	220	30	48	447
	Jaén	1443	53	0	1909	766	90	179	1293
	Málaga	2767	45	0	4418	1476	169	281	2702
	Sevilla	2448	36	0	3083	1202	149	282	2135
22/05/2020	Andalucía	12576	239	0	17078	6215	767	1377	11812
	Almería	498	21	0	755	231	41	51	564
	Cádiz	1258	24	0	1554	577	81	149	737
	Córdoba	1340	14	0	1694	554	75	110	1410
	Granada	2437	37	0	3198	1194	132	280	2651
	Huelva	402	3	0	525	219	30	48	442
	Jaén	1431	52	0	1891	763	90	178	1276
	Málaga	2766	47	0	4386	1475	169	281	2623
	Sevilla	2444	41	0	3075	1202	149	280	2109
21/05/2020	Andalucía	12547	234	0	17025	6210	766	1375	11624
	Almería	498	21	0	748	232	42	52	551
	Cádiz	1252	21	0	1542	575	80	147	721
	Córdoba	1341	17	0	1773	558	75	111	1460
	Granada	2431	35	0	3186	1191	132	280	2642
	Huelva	402	3	0	525	219	30	48	437
	Jaén	1422	48	0	1868	761	89	177	1220
	Málaga	2764	47	0	4327	1474	169	281	2537
	Sevilla	2437	42	0	3056	1200	149	279	2056
20/05/2020	Andalucía	12502	228	0	16842	6196	764	1371	11289
	Almería	497	20	0	739	229	42	52	506
	Cádiz	1245	15	0	1531	572	80	147	681
	Córdoba	1337	15	0	1729	556	75	110	1428
	Granada	2426	39	0	3171	1190	132	280	2630
	Huelva	402	3	0	525	219	30	48	435
	Jaén	1403	43	0	1841	758	87	176	1201
	Málaga	2757	44	0	4261	1473	169	281	2435
	Sevilla	2435	49	0	3045	1199	149	277	1973
19/05/2020	Andalucía	12489	228	0	16689	6182	760	1367	10963
	Almería	498	20	0	734	229	42	52	499
	Cádiz	1242	17	0	1524	571	79	147	593
	Córdoba	1334	12	0	1705	554	75	107	1359
	Granada	2422	41	0	3141	1187	132	280	2581
	Huelva	401	2	0	523	219	30	48	414
	Jaén	1397	41	0	1820	754	87	176	1190
	Málaga	2763	47	0	4216	1472	167	281	2377
	Sevilla	2432	48	0	3026	1196	148	276	1950
18/05/2020	Andalucía	12473	260	0	16511	6176	760	1361	10743
	Almería	498	20	0	728	228	42	52	490
	Cádiz	1239	18	0	1508	570	79	147	566
	Córdoba	1331	13	0	1696	552	75	106	1351
	Granada	2420	44	0	3109	1184	132	279	2527
	Huelva	400	1	0	521	219	30	48	392
	Jaén	1392	55	0	1797	753	87	176	1169
	Málaga	2763	56	0	4153	1474	167	278	2324
	Sevilla	2430	53	0	2999	1196	148	275	1924
17/05/2020	Andalucía	12458	261	0	16457	6178	761	1358	10671
	Almería	498	20	0	729	229	42	52	487
	Cádiz	1240	22	0	1508	571	79	145	565
	Córdoba	1331	13	0	1696	552	76	106	1350
	Granada	2417	43	0	3106	1184	132	279	2524
	Huelva	400	1	0	521	219	30	48	392
	Jaén	1387	50	0	1793	754	87	175	1171
	Málaga	2760	59	0	4122	1473	167	278	2302
	Sevilla	2425	53	0	2982	1196	148	275	1880
16/05/2020	Andalucía	12450	265	0	16432	6174	760	1358	10611
	Almería	498	20	0	728	228	41	52	484
	Cádiz	1240	23	0	1500	570	79	145	560
	Córdoba	1331	13	0	1696	552	76	106	1350
	Granada	2413	41	0	3101	1183	132	279	2520
	Huelva	400	1	0	521	219	30	48	391
	Jaén	1387	55	0	1793	754	87	175	1171
	Málaga	2758	57	0	4115	1472	167	278	2295
	Sevilla	2423	55	0	2978	1196	148	275	1840
15/05/2020	Andalucía	12420	257	0	16263	6161	758	1355	10319
	Almería	494	18	0	713	224	41	51	474
	Cádiz	1235	22	0	1487	568	79	145	530
	Córdoba	1329	14	0	1688	552	75	105	1335
	Granada	2407	40	0	3070	1183	132	279	2499
	Huelva	399	0	0	520	219	30	48	351
	Jaén	1379	49	0	1771	753	86	174	1129
	Málaga	2754	54	0	4068	1466	167	278	2214
	Sevilla	2423	60	0	2946	1196	148	275	1787
14/05/2020	Andalucía	12401	281	0	16068	6146	754	1344	10148
	Almería	492	18	0	695	218	39	50	452
	Cádiz	1236	25	0	1480	566	79	142	517
	Córdoba	1328	13	0	1682	551	74	105	1331
	Granada	2401	50	0	3033	1184	132	278	2480
	Huelva	399	0	0	520	219	30	48	344
	Jaén	1375	58	0	1751	751	85	173	1121
	Málaga	2746	55	0	3983	1463	167	274	2161
	Sevilla	2424	62	0	2924	1194	148	274	1742
13/05/2020	Andalucía	12359	304	0	15823	6128	751	1336	9918
	Almería	488	14	0	677	216	39	50	447
	Cádiz	1235	41	0	1477	566	79	142	511
	Córdoba	1326	16	0	1656	549	74	105	1308
	Granada	2399	58	0	2965	1183	132	275	2412
	Huelva	398	0	0	510	219	30	48	328
	Jaén	1366	62	0	1724	749	83	170	1103
	Málaga	2732	55	0	3919	1455	166	273	2098
	Sevilla	2415	58	0	2895	1191	148	273	1711
12/05/2020	Andalucía	12317	323	0	15629	6114	750	1332	9481
	Almería	485	14	0	662	214	39	50	433
	Cádiz	1232	43	0	1464	566	79	142	489
	Córdoba	1326	21	0	1632	547	74	105	1176
	Granada	2381	65	0	2966	1179	132	274	2326
	Huelva	398	0	0	510	219	30	48	320
	Jaén	1358	62	0	1689	745	82	168	1099
	Málaga	2723	55	0	3838	1454	166	272	2010
	Sevilla	2414	63	0	2868	1190	148	273	1628
11/05/2020	Andalucía	12293	351	0	15522	6101	745	1326	9297
	Almería	483	13	0	652	213	38	50	427
	Cádiz	1232	45	0	1449	566	79	142	473
	Córdoba	1324	22	0	1600	546	73	104	1147
	Granada	2378	71	0	3002	1178	132	274	2315
	Huelva	398	4	0	510	219	30	47	309
	Jaén	1355	64	0	1669	742	81	166	1082
	Málaga	2714	64	0	3790	1449	165	271	1960
	Sevilla	2409	68	0	2850	1188	147	272	1584
10/05/2020	Andalucía	12341	359	0	15478	6092	745	1322	9205
	Almería	482	12	0	649	212	38	50	423
	Cádiz	1232	49	0	1450	567	79	142	472
	Córdoba	1326	24	0	1600	544	73	104	1148
	Granada	2438	74	0	2987	1176	132	274	2302
	Huelva	398	6	0	510	219	30	47	303
	Jaén	1349	61	0	1661	743	81	165	1060
	Málaga	2714	66	0	3779	1448	165	271	1955
	Sevilla	2402	67	0	2842	1183	147	269	1542
09/05/2020	Andalucía	12315	362	0	15403	6080	744	1320	9020
	Almería	479	9	0	642	211	38	50	403
	Cádiz	1232	52	0	1444	566	79	142	469
	Córdoba	1323	22	0	1589	542	73	104	1143
	Granada	2431	77	0	2973	1173	132	273	2269
	Huelva	398	7	0	510	219	30	47	303
	Jaén	1345	58	0	1654	743	81	165	1042
	Málaga	2712	70	0	3760	1445	165	271	1942
	Sevilla	2395	67	0	2831	1181	146	268	1449
08/05/2020	Andalucía	12298	420	0	15228	6069	745	1317	8779
	Almería	477	9	0	630	210	38	49	391
	Cádiz	1228	55	0	1426	565	79	141	449
	Córdoba	1322	25	0	1547	541	73	104	1105
	Granada	2443	120	0	2946	1171	132	273	2201
	Huelva	398	9	0	507	219	30	46	296
	Jaén	1332	52	0	1638	742	82	166	1039
	Málaga	2707	81	0	3718	1440	165	270	1884
	Sevilla	2391	69	0	2816	1181	146	268	1414
07/05/2020	Andalucía	12287	506	0	15050	6038	742	1301	8435
	Almería	477	10	0	618	210	37	49	376
	Cádiz	1222	59	0	1406	559	78	138	412
	Córdoba	1320	27	0	1527	540	73	104	1093
	Granada	2469	168	0	2905	1166	132	271	2126
	Huelva	398	10	0	500	219	30	45	275
	Jaén	1321	48	0	1609	733	81	164	1001
	Málaga	2701	104	0	3703	1438	165	266	1811
	Sevilla	2379	80	0	2782	1173	146	264	1341
