Fecha,Territorio,Confirmados_PCR,Confirmados_PCR_14_días,Confirmados_PCR_7_días,Total_confirmados,Hospitalizados,Total_UCI,Fallecidos,Curados
2020-03-28,Huelva,0,0,0,131,72,6,4,2
2020-03-28,Granada,0,0,0,860,427,48,57,13
2020-03-28,Córdoba,0,0,0,473,221,14,11,4
2020-03-28,Cádiz,0,0,0,447,170,16,9,9
2020-03-28,Almería,0,0,0,200,86,8,12,6
2020-03-28,Andalucía,0,0,0,4682,2294,201,207,148
2020-03-29,Andalucía,0,0,0,5405,2671,216,236,155
2020-03-29,Almería,0,0,0,223,96,12,14,6
2020-03-29,Cádiz,0,0,0,507,207,16,13,10
2020-03-29,Córdoba,0,0,0,572,269,15,13,4
2020-03-29,Málaga,0,0,0,1321,725,61,69,83
2020-03-29,Huelva,0,0,0,168,92,7,4,2
2020-03-29,Jaén,0,0,0,599,319,10,23,17
2020-03-29,Sevilla,0,0,0,1052,470,45,34,18
2020-03-29,Granada,0,0,0,963,493,50,66,15
2020-03-30,Andalucía,0,0,0,5818,2867,235,248,160
2020-03-30,Almería,0,0,0,251,108,15,16,6
2020-03-30,Córdoba,0,0,0,661,288,17,15,4
2020-03-30,Cádiz,0,0,0,539,216,19,14,16
2020-03-30,Huelva,0,0,0,177,96,7,4,2
2020-03-30,Sevilla,0,0,0,1119,500,53,36,17
2020-03-30,Granada,0,0,0,1061,556,50,67,15
2020-03-30,Jaén,0,0,0,661,358,13,26,17
2020-03-30,Málaga,0,0,0,1349,745,61,70,83
2020-03-31,Sevilla,0,0,0,1215,536,57,55,20
2020-03-31,Málaga,0,0,0,1464,815,65,77,93
2020-03-31,Jaén,0,0,0,742,395,16,37,17
2020-03-31,Huelva,0,0,0,195,106,7,4,2
2020-03-31,Granada,0,0,0,1182,603,56,80,15
2020-03-31,Córdoba,0,0,0,687,302,19,21,4
2020-03-31,Cádiz,0,0,0,645,266,22,17,17
2020-03-31,Almería,0,0,0,262,124,18,17,14
2020-03-31,Andalucía,0,0,0,6392,3147,260,308,182
2020-04-01,Andalucía,0,0,0,6972,3444,280,343,228
2020-04-01,Almería,0,0,0,290,129,19,18,22
2020-04-01,Cádiz,0,0,0,697,295,23,19,22
2020-04-01,Córdoba,0,0,0,728,321,20,25,7
2020-04-01,Málaga,0,0,0,1644,917,74,93,101
2020-04-01,Huelva,0,0,0,224,115,10,6,2
2020-04-01,Jaén,0,0,0,788,420,16,39,21
2020-04-01,Granada,0,0,0,1230,636,58,86,23
2020-04-01,Sevilla,0,0,0,1371,611,60,57,30
2020-04-02,Córdoba,0,0,0,782,338,32,25,10
2020-04-02,Andalucía,0,0,0,7374,3673,338,376,258
2020-04-02,Almería,0,0,0,301,145,25,20,25
2020-04-02,Cádiz,0,0,0,754,319,42,22,28
2020-04-02,Granada,0,0,0,1292,681,68,93,25
2020-04-02,Jaén,0,0,0,821,440,21,43,23
2020-04-02,Sevilla,0,0,0,1462,659,63,65,33
2020-04-02,Huelva,0,0,0,237,123,10,10,4
2020-04-02,Málaga,0,0,0,1725,968,77,98,110
2020-04-03,Sevilla,0,0,0,1535,712,71,75,53
2020-04-03,Málaga,0,0,0,1800,1010,33,110,162
2020-04-03,Jaén,0,0,0,874,459,48,46,39
2020-04-03,Huelva,0,0,0,274,132,27,11,8
2020-04-03,Granada,0,0,0,1379,727,68,105,47
2020-04-03,Córdoba,0,0,0,892,365,79,30,55
2020-04-03,Cádiz,0,0,0,796,345,27,27,62
2020-04-03,Almería,0,0,0,319,146,11,22,37
2020-04-03,Andalucía,0,0,0,7869,3896,364,426,463
2020-04-04,Andalucía,0,0,0,8301,4107,474,470,665
2020-04-04,Almería,0,0,0,346,151,30,22,39
2020-04-04,Cádiz,0,0,0,846,365,49,31,88
2020-04-04,Córdoba,0,0,0,974,385,46,32,66
2020-04-04,Málaga,0,0,0,1863,1057,94,118,211
2020-04-04,Huelva,0,0,0,279,140,25,11,18
2020-04-04,Jaén,0,0,0,914,475,46,49,60
2020-04-04,Sevilla,0,0,0,1602,747,100,93,82
2020-04-04,Granada,0,0,0,1477,787,84,114,101
2020-04-05,Andalucía,0,0,0,8581,4227,489,491,798
2020-04-05,Almería,0,0,0,371,153,32,23,49
2020-04-05,Córdoba,0,0,0,1046,401,48,37,84
2020-04-05,Cádiz,0,0,0,862,367,56,31,104
2020-04-05,Huelva,0,0,0,288,143,25,16,18
2020-04-05,Sevilla,0,0,0,1663,778,101,97,95
2020-04-05,Granada,0,0,0,1501,808,85,114,129
2020-04-05,Jaén,0,0,0,934,490,46,52,61
2020-04-05,Málaga,0,0,0,1916,1087,96,121,258
2020-04-06,Almería,0,0,0,371,154,32,23,50
2020-04-06,Cádiz,0,0,0,881,370,56,32,109
2020-04-06,Córdoba,0,0,0,1055,408,50,39,84
2020-04-06,Andalucía,0,0,0,8767,4335,499,528,900
2020-04-06,Huelva,0,0,0,292,147,25,16,19
2020-04-06,Jaén,0,0,0,973,520,47,53,62
2020-04-06,Málaga,0,0,0,1932,1095,97,125,289
2020-04-06,Sevilla,0,0,0,1713,811,104,112,105
2020-04-06,Granada,0,0,0,1550,830,88,128,182
2020-04-07,Andalucía,0,0,0,8997,4463,520,605,1041
2020-04-07,Almería,0,0,0,378,161,32,26,54
2020-04-07,Cádiz,0,0,0,901,385,55,36,118
2020-04-07,Córdoba,0,0,0,1069,419,50,42,101
2020-04-07,Granada,0,0,0,1600,844,93,138,177
2020-04-07,Jaén,0,0,0,990,534,49,72,74
2020-04-07,Sevilla,0,0,0,1757,836,109,131,158
2020-04-07,Huelva,0,0,0,296,154,25,20,41
2020-04-07,Málaga,0,0,0,2006,1130,107,140,318
2020-04-08,Cádiz,0,0,0,915,403,58,45,128
2020-04-08,Andalucía,0,0,0,9261,4599,538,652,1193
2020-04-08,Almería,0,0,0,395,168,32,27,63
2020-04-08,Córdoba,0,0,0,1084,424,52,45,131
2020-04-08,Huelva,0,0,0,308,159,25,21,40
2020-04-08,Sevilla,0,0,0,1825,874,114,141,191
2020-04-08,Granada,0,0,0,1639,865,95,142,205
2020-04-08,Jaén,0,0,0,1021,548,51,84,80
2020-04-08,Málaga,0,0,0,2074,1158,111,147,355
2020-04-09,Sevilla,0,0,0,1887,900,124,150,200
2020-04-09,Málaga,0,0,0,2127,1182,123,154,451
2020-04-09,Jaén,0,0,0,1055,557,56,92,111
2020-04-09,Huelva,0,0,0,310,165,26,21,48
2020-04-09,Granada,0,0,0,1686,890,102,148,251
2020-04-09,Córdoba,0,0,0,1116,439,54,48,159
2020-04-09,Cádiz,0,0,0,929,413,64,49,144
2020-04-09,Almería,0,0,0,400,169,33,29,73
2020-04-09,Andalucía,0,0,0,9510,4715,582,691,1437
2020-04-10,Andalucía,0,0,0,9712,4808,602,737,1630
2020-04-10,Almería,0,0,0,403,171,33,32,83
2020-04-10,Cádiz,0,0,0,943,421,65,52,157
2020-04-10,Córdoba,0,0,0,1136,449,55,49,161
2020-04-10,Málaga,0,0,0,2143,1199,137,170,523
2020-04-10,Huelva,0,0,0,318,170,27,22,57
2020-04-10,Jaén,0,0,0,1097,561,57,96,156
2020-04-10,Granada,0,0,0,1725,915,102,157,272
2020-04-10,Sevilla,0,0,0,1947,922,126,159,221
2020-04-11,Córdoba,0,0,0,1153,453,56,56,176
2020-04-11,Andalucía,0,0,0,10006,4950,619,799,1838
2020-04-11,Almería,0,0,0,409,176,35,36,85
2020-04-11,Cádiz,0,0,0,971,436,70,59,194
2020-04-11,Granada,0,0,0,1772,943,103,165,317
2020-04-11,Jaén,0,0,0,1136,579,59,105,200
2020-04-11,Málaga,0,0,0,2203,1239,142,183,558
2020-04-11,Sevilla,0,0,0,2034,955,127,169,247
2020-04-11,Huelva,0,0,0,328,169,27,26,61
2020-04-12,Andalucía,0,0,0,10187,4993,621,815,1967
2020-04-12,Almería,0,0,0,413,176,34,35,86
2020-04-12,Cádiz,0,0,0,990,439,70,60,200
2020-04-12,Córdoba,0,0,0,1169,456,56,56,197
2020-04-12,Huelva,0,0,0,331,171,27,27,61
